domain,kingdom,phylum,class,order,family,genus,species,n_zotu,pident_mean,pident_median,pident_min,pident_max,qcov_mean,qcov_median,qcov_min,qcov_max,evalue_mean,evalue_median,evalue_min,evalue_max,nec_01,nec_02,pcr_ntc1,pcr_ntc2,pcr_ntc3,pcr_ntc4,rme_01,rme_02,rme_03,rme_04,rme_05,rme_06,rme_07,rme_08,rme_09,rme_10,rme_11,rme_12,rme_13,rme_14,rme_15,rme_16,rme_17,rme_18,rme_19,rme_20,rme_21,rme_22,rme_23,rme_24,rme_25,rme_26,rme_27,rme_28,rme_29,rme_30,rme_31,rme_32,rme_33,rme_34,rme_35,rme_36,rme_37,rme_38,rme_39,rme_40,rme_41,rme_42,rme_43,rme_44,rme_45,rmep_16,rmep_17,rmep_18,rmep_19,rmep_20,rmep_21,rmep_22,rmep_23,rmep_25,rmep_26,rmep_27,rmep_28,rmep_29,rmep_30,rmep_31,rmep_32,rmep_33,rmep_34,rmep_36,rmep_37,rmep_38,rmep_39,rmep_40,rmep_41,rmep_42,rmep_43,rmep_44,rmep_45
Eukaryota,Metazoa,Arthropoda,Malacostraca,Decapoda,Xanthidae,Liocarpilodes,Liocarpilodes integerrimus,1,95.631,95.631,95.631,95.631,93,93,93,93,1.1799999999999999e-88,1.1799999999999999e-88,1.1799999999999999e-88,1.1799999999999999e-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Chordata,Actinopteri,Labriformes,Labridae,Cetoscarus,LCA_dropped,2,98.2945,98.31200000000001,97.407,99.231,98,98,96,100,1.2872977777777778e-126,4.22e-127,9.919999999999999e-129,5.14e-126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Chordata,Actinopteri,Blenniiformes,Blenniidae,Entomacrodus,Entomacrodus thalassinus,2,90.18875,90.1885,89.057,91.321,97,97,97,97,4.83434305975e-94,1.8686049999999998e-96,1.3899999999999997e-101,1.93e-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Scomberoides,Scomberoides lysan,1,99.18575,99.283,98.566,99.611,95.25,97,90,97,9.2750000670075e-129,1.337575e-136,5.1499999999999996e-139,3.71e-128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,LCA_dropped,LCA_dropped,19,95.08123155216285,95.215,93.301,97.765,97.61704834605598,100,68,100,1.2102544529262086e-59,1.3399999999999997e-87,4.1099999999999997e-94,3.38e-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Limoniidae,Metalimnobia,Metalimnobia quadrinotata,10,92.6954347826087,92.386,91.346,93.909,97.43478260869566,98,95,100,7.19642078712174e-77,1.86e-79,1.98e-85,1.1700000000000001e-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Craspedacusta,Craspedacusta sowerbii,1,96.014,96.014,96.014,96.014,100,100,100,100,6.409999999999999e-125,6.409999999999999e-125,6.409999999999999e-125,6.409999999999999e-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Chordata,Actinopteri,Blenniiformes,Blenniidae,Blenniella,Blenniella gibbifrons,1,98.168,98.168,98.168,98.168,100,100,100,100,1.94e-131,1.94e-131,1.94e-131,1.94e-131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura aurora,11,97.28919318181818,97.283,95.676,98.37,90.63636363636364,90.5,86,99,2.4178595037530377e-80,2.9350109500000004e-86,9.929999999999998e-96,6.7e-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0
Eukaryota,Metazoa,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon citrinellus,3,98.07177777777778,98.431,96.97,98.824,98,97,97,100,5.5971111111111115e-123,2.6000000000000003e-123,2.13e-124,3.16e-122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Eukaryota,Metazoa,Chordata,Lepidosauria,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus lugubris,1,97.7825,97.7825,97.581,97.984,100,100,100,100,4.279500000000001e-117,4.279500000000001e-117,6.4899999999999995e-118,7.910000000000001e-117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eukaryota,Metazoa,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,LCA_dropped,1,98.0667,97.942,97.119,98.765,100,100,100,100,7.653256319999998e-113,3.2899999999999997e-115,6.339999999999999e-118,5.939999999999999e-112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
