zotu,taxid,unique_hits,pident_mean,pident_median,pident_min,pident_max,qcov_mean,qcov_median,qcov_min,qcov_max,domain,kingdom,phylum,class,order,family,genus,species,taxid_rank,nec_01,nec_02,pcr_ntc1,pcr_ntc2,pcr_ntc3,pcr_ntc4,rme_01,rme_02,rme_03,rme_04,rme_05,rme_06,rme_07,rme_08,rme_09,rme_10,rme_11,rme_12,rme_13,rme_14,rme_15,rme_16,rme_17,rme_18,rme_19,rme_20,rme_21,rme_22,rme_23,rme_24,rme_25,rme_26,rme_27,rme_28,rme_29,rme_30,rme_31,rme_32,rme_33,rme_34,rme_35,rme_36,rme_37,rme_38,rme_39,rme_40,rme_41,rme_42,rme_43,rme_44,rme_45,rmep_16,rmep_17,rmep_18,rmep_19,rmep_20,rmep_21,rmep_22,rmep_23,rmep_25,rmep_26,rmep_27,rmep_28,rmep_29,rmep_30,rmep_31,rmep_32,rmep_33,rmep_34,rmep_36,rmep_37,rmep_38,rmep_39,rmep_40,rmep_41,rmep_42,rmep_43,rmep_44,rmep_45
Zotu2763,40674,1000,97.521413,97.521,97.521,97.934,100,100,100,100,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,0,8,1,0,0,0,2,1,1,3,0,3,0,2,2,0,1,5,2,4,1,21,6,5,0,1,0,10,0,0,1,0,0,0,7,1,1,0,9,1,0,0,0,0,3,0,0,2,0,0,1,10,1,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,92,0
Zotu2764,40674,1000,99.145,99.145,99.145,99.145,97,97,97,97,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,0,4,0,0,1,2,5,0,0,4,0,3,0,3,1,0,1,1,0,4,2,22,8,2,1,0,1,6,0,3,0,0,0,0,9,1,7,0,18,0,0,0,5,1,2,3,0,1,0,0,1,18,5,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,68,3
Zotu2765,40674,1000,97.934,97.934,97.934,97.934,100,100,100,100,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,0,8,1,0,0,0,7,2,0,0,0,3,0,5,2,0,0,5,2,6,0,21,12,0,0,1,0,10,0,2,0,0,0,0,6,0,6,0,9,1,1,0,2,1,1,4,0,2,0,0,2,11,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80,0
Zotu2766,46736,80,97.55052500000001,97.768,96.354,98.122,94.225,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,0,0,4,9,23,2,14,1,3,0,1,3,7,0,0,3,0,5,2,0,3,0,1,0,12,7,0,0,24,0,1,11,7,0,0,0,14,0,0,3,45,0,2,8,10,0,1,0,0,0,0,0,0,0,0,8,0,2,0,0,0,10,0,0,2,0,0,0,0,0,0,1,0
Zotu2767,46736,80,97.55052500000001,97.768,96.354,98.122,94.225,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,0,0,2,5,12,2,11,2,0,1,1,1,10,0,0,3,0,10,0,2,4,0,2,0,8,8,1,0,15,0,0,11,4,2,0,1,14,1,0,6,37,0,0,10,13,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0
Zotu2768,46736,80,98.000975,98.214,96.875,98.592,94.225,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,1,0,5,7,17,2,16,1,3,1,0,4,6,0,0,5,0,6,0,1,0,0,1,0,11,7,1,0,25,0,0,14,8,0,0,1,12,0,0,1,36,0,1,6,5,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,15,0,0,5,0,3,0,0,0,0,0,0
Zotu2769,6125,41,97.65119512195122,97.797,96.476,97.797,94.41463414634147,95,91,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,LCA_dropped,LCA_dropped,LCA_dropped,order,0,0,0,0,0,0,0,2,5,3,1,31,6,0,4,0,2,0,6,0,0,7,0,1,5,0,5,0,3,0,4,3,0,0,18,26,1,1,1,1,0,2,2,4,0,0,13,0,37,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,3,0,0,0,0,7,0
Zotu2770,40674,1000,98.72229200000001,98.718,98.718,99.145,97.002,97,97,98,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,0,5,2,0,0,1,5,1,0,1,0,2,1,2,3,0,0,2,3,13,1,21,9,7,0,2,0,14,0,2,3,0,0,0,17,1,2,0,26,0,3,1,3,1,1,5,0,0,0,0,0,7,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,71,0
Zotu2771,40674,1000,97.93771699999999,97.934,97.934,98.347,100,100,100,100,Eukaryota,Metazoa,Chordata,Mammalia,LCA_dropped,LCA_dropped,LCA_dropped,LCA_dropped,class,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,5,0,2,2,0,2,4,0,8,1,30,5,3,0,0,0,6,0,1,0,0,0,1,6,0,6,0,16,1,1,0,2,0,0,2,0,2,0,0,0,18,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78,1
Zotu2772,46736,77,98.02116883116884,98.214,96.875,98.592,94.1948051948052,95,82,95,Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,LCA_dropped,LCA_dropped,family,0,0,0,0,0,0,0,1,1,6,15,6,15,1,0,0,2,5,5,0,0,2,0,8,1,2,4,0,4,0,7,5,1,0,22,0,1,11,5,1,0,1,9,0,0,2,45,0,1,4,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,3,0,3,0,0,0,0,0,0
